Learning Area,Element,Sub-element,Progression level,Progression level name / stage name,Subheading,Indicator ID,Indicator order,Indicator text (verbatim),Indicator text (no examples),Example / elaboration,Relevant – Foundation,Relevant – Year 1,Relevant – Year 2,Relevant – Year 3,Relevant – Year 4,Relevant – Year 5,Relevant – Year 6,Relevant – Year 7,Relevant – Year 8,Relevant – Year 9,Relevant – Year 10
Literacy,Speaking and listening,Listening,Level 1a,,,LP9-SL-LIST-Level1a-01,1,"shows interest in familiar people, events and activities (e.g. tracks the speaker's movements, turns head in the direction of a speaker)","shows interest in familiar people, events and activities","e.g. tracks the speaker's movements, turns head in the direction of a speaker",Yes,,,,,,,,,,
Literacy,Speaking and listening,Listening,Level 1b,,,LP9-SL-LIST-Level1b-01,1,responds consistently to social interactions with familiar people (see Interacting),responds consistently to social interactions with familiar people (see Interacting),,Yes,,,,,,,,,,
Literacy,Speaking and listening,Listening,Level 1b,,,LP9-SL-LIST-Level1b-02,2,"uses informal responses which can include vocalising, moving, touching (e.g. touches a target object in response to a question or directive) (see Interacting)","uses informal responses which can include vocalising, moving, touching (e.g. touches a target object in response to a question or directive) (see Interacting)",,Yes,,,,,,,,,,
Literacy,Speaking and listening,Listening,Level 1,,,LP9-SL-LIST-Level1-01,1,"responds to a familiar, simple text structure (e.g. indicates yes or no when asked a commonly recurring question such as ""Are you hungry?"") (see Speaking)","responds to a familiar, simple text structure (e.g. indicates yes or no when asked a commonly recurring question such as ""Are you hungry?"") (see Speaking)",,Yes,,Yes,,,,,,,,
Literacy,Speaking and listening,Listening,Level 1,,,LP9-SL-LIST-Level1-02,2,"uses conventional behaviours to respond, which can include speech, formal gestures and actions (e.g. head nodding and pointing)","uses conventional behaviours to respond, which can include speech, formal gestures and actions",e.g. head nodding and pointing,Yes,,Yes,,,,,,,,
Literacy,Speaking and listening,Listening,Level 2,,,LP9-SL-LIST-Level2-01,1,"responds to short spoken texts relying on key words, obvious cues, tone of voice and intonation","responds to short spoken texts relying on key words, obvious cues, tone of voice and intonation",,Yes,,Yes,,,,,,,,
Literacy,Speaking and listening,Listening,Level 2,,,LP9-SL-LIST-Level2-02,2,follows a simple command,follows a simple command,,Yes,,Yes,,,,,,,,
Literacy,Speaking and listening,Listening,Level 2,,,LP9-SL-LIST-Level2-03,3,repeats familiar words heard in a text or conversation,repeats familiar words heard in a text or conversation,,Yes,,Yes,,,,,,,,
Literacy,Speaking and listening,Listening,Level 3,,,LP9-SL-LIST-Level3-01,1,listens actively and responds to short texts consisting of a few sentences,listens actively and responds to short texts consisting of a few sentences,,Yes,Yes,,,,,,,,,
Literacy,Speaking and listening,Listening,Level 3,,,LP9-SL-LIST-Level3-02,2,recalls one or 2 ideas from a short text or interaction,recalls one or 2 ideas from a short text or interaction,,Yes,Yes,,,,,,,,,
Literacy,Speaking and listening,Listening,Level 3,,,LP9-SL-LIST-Level3-03,3,answers simple or literal questions,answers simple or literal questions,,Yes,Yes,,,,,,,,,
